Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
15.33,0.031019723318665968,22.9,0.27,10.27,0.53
15.21,0.03190239002577543,23.45,0.1,9.35,0.49
16.24,0.029131338867081018,23.53,0.0,9.97,0.54
15.8,0.030340063525812817,24.38,0.07,9.52,0.63
16.24,0.0322892513328496,23.61,0.09,8.38,0.44
16.59,0.032516353258559665,23.78,0.20083333333333336,8.59,0.51
16.54,0.03343436717044144,26.01,0.17,8.7,0.34
15.77,0.03133276190528407,24.91,0.47,8.9,0.38
16.03,0.0300742697755603,24.14,0.2433333333333333,9.58,0.5266666666666666
15.65,0.02923681656749448,26.07,0.35,9.31,0.42
15.26,0.02975214921424967,24.35,0.04,9.21,0.3
16.02,0.0,24.6,0.04,10.12,0.51
15.29,0.008333333333333333,23.57,0.08,10.95,0.44
15.69,0.0,22.97,0.03,9.83,0.45
15.15,0.004,24.43,0.02,9.49,0.37
14.29,0.0,24.05,0.3,10.56,0.65
14.68,0.16287301587301584,24.39,0.044000000000000004,10.2,0.35
14.13,0.24000000000000005,23.55,0.09666666666666666,9.56,0.36
12.58,0.0045000000000000005,20.42,0.065,9.22,0.32
12.8,0.0,21.76,0.11285714285714285,9.33,0.32
13.59,0.04444444444444445,22.95,0.02,10.11,0.31
14.04,0.0,19.02,0.06,9.25,0.22
14.07,0.0,18.33,0.055999999999999994,9.35,0.11
13.92,0.04576190476190476,17.44,0.01,8.61,0.26
13.47,0.02919444444444445,18.36,0.10702380952380952,8.05,0.19
13.52,0.0,18.17,0.3433333333333333,9.54,0.38166666666666665
12.22,0.0025,20.08,0.16761904761904758,8.84,0.5233333333333333
12.35,0.01,15.39,0.4866666666666666,8.26,0.33
13.29,0.0,15.89,0.26,7.79,0.5
12.45,0.06,18.61,0.195,8.1,0.42
13.78,0.55,17.72,0.04,7.93,0.58
10.79,0.2681071428571428,17.39,0.16,6.77,0.48233333333333334
9.96,0.35514285714285715,18.44,0.155,6.95,0.3216666666666667
11.59,0.011,17.7,0.2,6.88,0.26333333333333336
10.64,0.0,20.14,0.03,7.58,0.4103333333333333
12.38,0.0,20.22,0.015,7.15,0.1825
11.81,0.0075,19.17,0.02,6.88,0.42
11.08,0.038833193706457415,18.7,0.16438095238095238,7.05,0.27
11.71,0.03955348751663963,18.58,0.2731666666666667,7.03,0.24
12.24,0.03870253125152499,16.13,0.1366666666666667,7.88,0.78
11.74,0.03920630824970806,16.86,0.01,8.07,0.8425
12.12,0.03838629316177411,13.91,0.06166666666666666,6.28,0.99
11.64,0.036097478312184496,14.0,0.06333333333333332,6.55,0.6
12.18,0.03516884380545076,12.46,0.154,6.94,0.27925
11.37,0.03793371480481498,12.92,0.038,6.48,0.37
11.08,0.03620831628643837,13.73,0.005,6.72,0.31
10.92,0.03625951042560132,11.68,0.07333333333333332,7.19,0.4581666666666666
11.05,0.0,10.72,0.02,6.48,0.08333333333333334
10.78,0.0,12.45,0.02,6.91,0.45349999999999996
10.59,0.0,13.57,0.2048333333333333,8.26,0.18
11.11,,,,,
